No,Brand,Company,Country of Origin,Market Size,B2B,B2C,Pricing,Ballpoint,Calligraphy,Gel pen,Marker,Fountain pen,Fineliner,Other,Customer,
80,British museum pens,Onoto,UK,5,1,1,10,,,,,1,,,5,,,,,,,,,,,,,,,,,,
81,AJOTO,AJOTO,UK,2,0,1,6,,,,,,,Rollerball Pens,4,,,,,,,,,,,,,,,,,,
82,Karst,Karst,Australia (UK ops),4,1,1,2,1,,1,,,,,2,,,,,,,,,,,,,,,,,,
83,IZOD Pens,IZOD Pens,UK,2,1,1,6,,,,,1,,,5,,,,,,,,,,,,,,,,,,
84,SCRIBO,SCRIBO UK,Italy,3,1,1,8,,,,,1,,,5,,,,,,,,,,,,,,,,,,
85,William Hannah,William Hannah Ltd,UK,2,0,1,6,,,,,,,,4,,,,,,,,,,,,,,,,,,
86,Platignum,Mentmore,UK,3,0,1,2,1,,,,1,,,2,,,,,,,,,,,,,,,,,,
87,Simpole,Simpole,UK,1,0,1,3,,,,,1,,,1,,,,,,,,,,,,,,,,,,
88,Wyvern,Wyvern,UK,2,0,1,4,,,,,1,,,3,,,,,,,,,,,,,,,,,,
89,Yard-O-Led,Yard-O-Led,UK,5,1,1,10,,,,,1,,Pencil,5,,,,,,,,,,,,,,,,,,
90,Summit,Summit (Lang Pen Co.),UK,2,0,1,5,,,,,1,,,3,,,,,,,,,,,,,,,,,,
91,Scriveiner,Scriveiner Ltd.,UK,3,1,1,6,,,,,1,,Rollerball Pen,4,,,,,,,,,,,,,,,,,,
92,Loft Pens,Loft Pens,UK,2,0,1,5,,,,,1,,,4,,,,,,,,,,,,,,,,,,
93,Gilbert House Pens,Gilbert House Pens,UK,2,0,1,4,,,,,1,,,3,,,,,,,,,,,,,,,,,,
94,Rockster Pens,Rockster Pens,UK,2,0,1,5,,,,,1,,,4,,,,,,,,,,,,,,,,,,
95,Black Robin Pens,Black Robin Pens,UK,2,0,1,3,,,,,1,,,2,,,,,,,,,,,,,,,,,,
96,Belliver,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
97,Churchill,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
98,Churchill Heritage,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
99,Lady Churchill,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
100,Collectors,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
101,Coronet,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
102,Duro,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
103,Marlborough,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
104,Professionals,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
105,Raleigh,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
106,Series 100,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
107,Series 58,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
108,Silvicity,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
109,Sterling Silver,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
110,Wellington,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
111,Winston,Conway Stewart,UK,5,0,1,8,,,,,1,,,7,,,,,,,,,,,,,,,,,,
112,303,Gillott,UK,4,1,0,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,
113,850,Gillott,UK,4,1,0,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,
114,291,Gillott,UK,4,1,0,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,
115,404,Gillott,UK,4,1,0,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,
116,1950,Gillott,UK,4,1,0,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,
117,1290,Gillott,UK,4,1,0,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,
118,1068A,Gillott,UK,4,1,0,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,
119,Pocket pen,AJOTO,UK,1,1,1,1,,,,,,,Rollerball Pen,6,,,,,,,,,,,,,,,,,,
120,Brushed pen (Brass),AJOTO,UK,1,1,1,1,,,,,,,Rollerball Pen,6,,,,,,,,,,,,,,,,,,
121,Brushed pen (Aluminium),AJOTO,UK,1,1,1,1,,,,,,,Rollerball Pen,6,,,,,,,,,,,,,,,,,,
122,Brushed pen (Steel),AJOTO,UK,1,1,1,1,,,,,,,Rollerball Pen,6,,,,,,,,,,,,,,,,,,
123,Sterling Silver,AJOTO,UK,1,1,1,1,,,,,,,Rollerball Pen,9,,,,,,,,,,,,,,,,,,
124,The Good Blue,The Good Blue,UK,3,1,1,4,,,,,1,,,2,,,,,,,,,,,,,,,,,,
125,Spark Nibs,Spark Nibs,UK,3,1,1,6,,,,,1,,,3,,,,,,,,,,,,,,,,,,
126,Jack Row,Jack Row,UK,5,1,1,10,,,,,1,,,5,,,,,,,,,,,,,,,,,,
127,Beaufort Ink,Beaufort Ink,UK,4,1,1,5,,,,,,,Pen Kits,,,,,,,,,,,,,,,,,,,
128,Tom's Studio,Tom's Studio,UK,3,1,1,7,,1,,,1,,,3,,,,,,,,,,,,,,,,,,
129,AuRola,AuRola,UK,1,0,1,4,,,,,1,,,2,,,,,,,,,,,,,,,,,,
130,Worcester Pen Co.,Worcester Pen Company,UK,4,1,1,7,,,,,1,,,4,,,,,,,,,,,,,,,,,,
131,Kakimori,Kakimori Inc.,Japan,1,1,1,mid-premium,1,1,0,1,1,1,nip pens,young adults value craftmanship,,,,,,,,,,,,,,,,,,
132,Kuretake, Kuretake Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Kyoto TAG ,AG Stationery (Takeda Jimuki),Japan,1,1,1,mid-premium,0,1,0,0,1,0,,Fountain pen lovers,,,,,,,,,,,,,,,,,,
134,Namiki,The Pilot Pen corporation,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Pilot,The Pilot Pen corporation,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Nakaya,Nakaya Fountain Pen Co.,Japan,1,1,1,Luxury,0,1,0,0,1,0,nibs,Fountain pen connoisseurs,,,,,,,,,,,,,,,,,,
137,Platinum,Platinum Pen Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Sailor,Sailor Pen Company,Japan,4,1,1,Mid to Premium,1,1,1,1,1,1,brush pens,Writers,,,,,,,,,,,,,,,,,,
139,Taccia,Taccia Pen Company,Japan,1,1,1,Mid to Premium,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,
140,Tomoe River,Sanzen Paper Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Stationery Japan,Various,Japan,4,1,1,Varies,1,1,1,1,1,1,,General consumers,,,,,,,,,,,,,,,,,,
142,Uni-Ball,Mitsubishi Pencil Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Zebra Pen,Zebra Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Sakura,Sakura Color Products Corp.,Japan,4,1,1,Budget to Mid,1,1,1,1,0,1,Crayons,Artists,,,,,,,,,,,,,,,,,,
145,Pigma Micron,Sakura Color Products Corp.,Japan,4,1,1,Mid-range,0,1,0,0,0,1,,Artists,,,,,,,,,,,,,,,,,,
146,Copic Multiliner,Too Corporation,Japan,4,1,1,Mid-range,0,1,0,0,0,1,Technical drawing pens,Artists,,,,,,,,,,,,,,,,,,
147,Tombow Dual Brush Pen,Tombow Pencil Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Copic Sketch,Too Corporation,Japan,4,1,1,Premium,0,1,0,1,0,0,,Professional,,,,,,,,,,,,,,,,,,
149,Copic Classic Markers,Too Corporation,Japan,4,1,1,Premium,0,1,0,1,0,0,,Professional,,,,,,,,,,,,,,,,,,
150,Copic Ciao Markers,Too Corporation,Japan,4,1,1,Mid-range,0,1,0,1,0,0,,Entry-level; Students and hobbyists seeking affordable yet high-quality markers.,,,,,,,,,,,,,,,,,,
151,Posca Paint Pens,Mitsubishi Pencil Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Reynolds,Reynolds International Pen Company,India,5,1,1,1,1,0,1,1,1,1,Highlighters,,,,,,,,,,,,,,,,,,,
153,Cello,Cello Group,India,4,1,1,1,1,0,1,1,1,1,Highlighters,,,,,,,,,,,,,,,,,,,
154,Parker,Newell Brands Inc.,United Kingdom,4,1,1,3,1,0,1,1,1,1,Highlighters,,,,,,,,,,,,,,,,,,,
155,Waterman,Waterman S.A.,France,3,0,1,5,1,0,0,0,1,1,Ink Bottles,4,,,,,,,,,,,,,,,,,,
156,Hayman,Hayman,India ,2,1,1,1,1,0,1,0,1,1,Gift sets,1,,,,,,,,,,,,,,,,,,
157,LINC,Linc Pen & Plastics Ltd,India,4,1,1,1,1,0,1,1,0,1,Stationery,1,,,,,,,,,,,,,,,,,,
158,Luxor,Luxor Writing Instruments Pvt. Ltd,India,5,1,1,2,1,1,1,0,1,1,Office supplier,2,,,,,,,,,,,,,,,,,,
159,Pierre Cardin,Pierre Cardin Group,France,2,0,1,2,1,0,0,0,1,1,Gift sets,3,,,,,,,,,,,,,,,,,,
160,Pilot,Pilot Corporation,Japan,5,1,1,3,1,1,1,1,1,1,Mechanical Pencils,,,,,,,,,,,,,,,,,,,
161,Flair,Flair Writing Industries Ltd,India,3,1,1,1,1,0,1,1,1,1,Houseware,1,,,,,,,,,,,,,,,,,,
162,Montex,Montex Pens Industries Pvt. Ltd,India,2,1,1,1,1,0,1,0,1,0,Mechanical Pencils,,,,,,,,,,,,,,,,,,,
163,ADD,ADD Pens Pvt. Ltd,India,3,,1,1,0,0,1,0,0,0,Refills,1,,,,,,,,,,,,,,,,,,
164,Classmate,ITC Ltd,India,4,1,1,1,1,1,1,1,1,1,Notebooks,1,,,,,,,,,,,,,,,,,,
165,Camlin,Kokuyo Camlin Ltd,India,2,1,1,2,1,0,1,1,1,0,Pencils,,,,,,,,,,,,,,,,,,,
166,Bril,Bril India Pvt. Ltd,India,1,0,1,4,0,0,0,0,1,0,Ink Bottles,,,,,,,,,,,,,,,,,,,
167,Ratnamson,Ratnam Pen Works,India,4,0,1,5,0,0,0,0,1,0,Ink Bottles,,,,,,,,,,,,,,,,,,,
168,Artline,Shachihata Inc.,Japan,5,1,1,3,1,1,0,1,0,1,Stationery,,,,,,,,,,,,,,,,,,,
169,Montblanc,Montblanc International GmbH,Germany,3,0,1,8,1,1,0,0,1,0,Luxury Goods,5,,,,,,,,,,,,,,,,,,
170,Sheaffer,Sheaffer Pen Corporation ,USA,3,1,1,4,1,1,0,0,1,0,Gift set,3,,,,,,,,,,,,,,,,,,
171,Cross,A. T. Cross Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Lamy,C. Josef Lamy GmbH,Germany,4,1,1,4,1,1,1,0,1,1,Digital Pens,3,,,,,,,,,,,,,,,,,,
173,Magna Carta,Magna Carta,India,1,0,1,6,0,1,0,0,1,0,Custom nibs,4,,,,,,,,,,,,,,,,,,
174,Livescribe,Anoto Group AB,USA,1,1,1,8,1,0,0,0,0,0,Smartpen with audio recording,Tech interested proffesionals,,,,,,,,,,,,,,,,,,
175,Paper Mate,Newell Brands ,USA,5,1,1,2,1,0,1,1,0,1,Pencils,1,,,,,,,,,,,,,,,,,,
176,ASA Pens,ASA Pens,India,1,0,1,4,0,1,0,0,1,0,Custom nibs,3,,,,,,,,,,,,,,,,,,
177,Uni,MITSUBISHI PENCIL COMPANY,Japan,2,1,1,3,1,0,1,1,1,1,Art suplliers,2,,,,,,,,,,,,,,,,,,
178,Hero Pen,Shanghai Hero Pen Company ,China,5,1,1,2,0,0,0,0,1,0,None,2,,,,,,,,,,,,,,,,,,
179,Pentel,Pentel Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,ROtring,ROtring,Germany,4,1,1,4,1,1,0,1,1,1,technical Pens,3,,,,,,,,,,,,,,,,,,
181,Pelikan,Pelikan Holding AG,Germany,4,1,1,5,1,1,0,0,1,0,Inks,3,,,,,,,,,,,,,,,,,,
182,Jinhao,Shanghai Qiangu Stationery Company Ltd.,China,3,0,1,2,0,0,0,0,1,0,None,2,,,,,,,,,,,,,,,,,,
183,Baoer,Baoer Pen Company,China,2,0,1,2,0,1,0,0,1,0,None,2,,,,,,,,,,,,,,,,,,
184,OHTO,OHTO,Japan,2,1,1,3,1,0,1,0,1,1,Office suppliers,3,,,,,,,,,,,,,,,,,,
185,Franklin Covey,AT Cross Ltd,USA,2,1,1,3,1,0,0,0,1,0,Planners,3,,,,,,,,,,,,,,,,,,
186,Maped,Maped Helix USA,France,4,1,1,1,1,0,1,1,0,0,Schools supplies,1,,,,,,,,,,,,,,,,,,
187,Schneider,Schneider Schreibger�te GmbH,Germany,4,1,1,2,1,0,1,1,1,1,office supplies,2,,,,,,,,,,,,,,,,,,
188,Inoxcrom,Inoxcrom,Spain,2,1,1,2,1,0,1,0,1,0,None,2,,,,,,,,,,,,,,,,,,
189,TWSBI,TaShin Precision,Taiwan,1,0,1,4,0,0,0,0,1,0,None,3,,,,,,,,,,,,,,,,,,
190,Kaweco,KaWeCo - Federhalter-Fabrik Koch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Wality / Airmail,Armail Pen Co.,India,2,0,1,2,0,0,0,0,1,0,None,2,,,,,,,,,,,,,,,,,,
192,Beena,Beena Pens,India,2,1,1,1,1,0,1,0,0,0,None,1,,,,,,,,,,,,,,,,,,
193,Submarine Pens,Submarine Pens,India,2,1,1,1,1,0,1,0,0,0,None,1,,,,,,,,,,,,,,,,,,
194,Hauser  ,HAUSER GERMANY,Germany,3,1,1,2,1,0,1,0,0,0,None,2,,,,,,,,,,,,,,,,,,
195,V'sign,Beena Pens,India,2,1,1,1,1,0,0,0,1,0,Stationary,1,,,,,,,,,,,,,,,,,,
196,Bic,Soci�t� Bic S.A.,France,5,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,
197,Apsara,Hindustan Pencils Pvt. Ltd.,India,3,1,1,1,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
198,Saraswati ,M/s. Mangal Sain Trilok Chand Jain Pvt. Ltd.,India,2,1,1,1,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
199,Faber Castell,Faber-Castell Aktiengesellschaft,Germany,5,1,1,2,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,
200,Lotus pens ,Lotus writing instruments,India ,1,0,1,7,0,0,0,0,1,0,None,4,,,,,,,,,,,,,,,,,,
201,Baoer,Shanghai QianGu,China,2,1,1,1,1,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,
202,Duke (Golden Crown),Shanghai G Crown,China,3,1,1,4,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,
203,Hero,Shanghai Hero,China,4,1,1,3,1,0,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,
204,Jinhao (Shanghai Qian Gu Stationary Co Ltd ),Shanghai QianGu,China,4,1,1,3,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,
205,Picasso,Shanghai Picasso,China,3,1,1,4,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,
206,Wing Sung,Shanghai Wing Sung,China,4,1,1,1,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,
207,Lanbitou,Lanbitou,China,2,1,1,2,1,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,
208,Kaigelu,Kaigelu,China,2,1,1,4,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,
209,PenBBS,PenBBS,China,2,1,1,3,0,0,0,0,1,0,1,5,,,,,,,,,,,,,,,,,,
210,Moonman,Moonman,China,3,1,1,3,0,0,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,
211,Majohn,Majohn,China,2,1,1,3,0,0,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,
212,Delike,Delike,China,2,1,1,3,0,1,0,0,1,1,0,4,,,,,,,,,,,,,,,,,,
213,Laban,Laban,Taiwan,3,1,1,6,1,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,
214,Yiren,Yiren,China,2,1,1,2,1,0,1,0,1,0,0,2,,,,,,,,,,,,,,,,,,
215,Bookworm,Bookworm,China,1,1,1,1,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,
216,Deli,Deli,China,5,1,1,2,1,0,1,1,0,1,1,3,,,,,,,,,,,,,,,,,,
217,Beifa,Beifa,China,5,1,1,2,1,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,
218,Baoke,Baoke,China,4,1,1,2,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
